id_empleado,nombre,depto,superior,marca,etiqueta
15,Georgia O'Keeffe,Producción,Caravaggio,2025-11-01 05:47:33,entrada
11,Frida Kahlo,Producción,Caravaggio,2025-11-01 05:51:58,entrada
10,Pablo Picasso,Producción,Caravaggio,2025-11-01 05:53:13,entrada
16,Francisco de Goya,Producción,Caravaggio,2025-11-01 05:54:34,entrada
14,Edgar Degas,Producción,Caravaggio,2025-11-01 05:55:25,entrada
20,Caravaggio,Producción,Rembrandt van Rijn,2025-11-01 05:55:43,entrada
40,Georges Seurat,Producción,Caravaggio,2025-11-01 05:57:12,entrada
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-01 13:52:49,entrada
27,Edvard Munch,Producción,Artemisia Gentileschi,2025-11-01 13:53:29,entrada
28,Paul Cézanne,Producción,Artemisia Gentileschi,2025-11-01 13:53:43,entrada
21,Artemisia Gentileschi,Producción,Rembrandt van Rijn,2025-11-01 13:55:42,entrada
41,Piet Mondrian,Producción,Artemisia Gentileschi,2025-11-01 13:55:59,entrada
29,Diego Velázquez,Producción,Artemisia Gentileschi,2025-11-01 13:56:24,entrada
26,Wassily Kandinsky,Producción,Artemisia Gentileschi,2025-11-01 13:57:00,entrada
16,Francisco de Goya,Producción,Caravaggio,2025-11-01 14:09:50,salida
15,Georgia O'Keeffe,Producción,Caravaggio,2025-11-01 14:13:25,salida
10,Pablo Picasso,Producción,Caravaggio,2025-11-01 14:17:39,salida
11,Frida Kahlo,Producción,Caravaggio,2025-11-01 14:20:01,salida
20,Caravaggio,Producción,Rembrandt van Rijn,2025-11-01 14:23:29,salida
40,Georges Seurat,Producción,Caravaggio,2025-11-01 14:32:08,salida
14,Edgar Degas,Producción,Caravaggio,2025-11-01 14:32:13,salida
33,Hieronymus Bosch,Producción,Vincent Van Gogh,2025-11-01 20:56:37,entrada
35,Tamara de Lempicka,Producción,Vincent Van Gogh,2025-11-01 20:56:51,entrada
22,Vincent Van Gogh,Producción,Rembrandt van Rijn,2025-11-01 20:58:05,entrada
34,El Greco,Producción,Vincent Van Gogh,2025-11-01 20:58:23,entrada
23,Henri Matisse,Producción,Artemisia Gentileschi,2025-11-01 20:58:52,salida
32,Keith Haring,Producción,Vincent Van Gogh,2025-11-01 20:58:53,entrada
21,Artemisia Gentileschi,Producción,Rembrandt van Rijn,2025-11-01 21:04:10,salida
26,Wassily Kandinsky,Producción,Artemisia Gentileschi,2025-11-01 21:17:02,salida
41,Piet Mondrian,Producción,Artemisia Gentileschi,2025-11-01 21:18:17,salida
27,Edvard Munch,Producción,Artemisia Gentileschi,2025-11-01 21:18:55,salida
28,Paul Cézanne,Producción,Artemisia Gentileschi,2025-11-01 21:23:46,salida
29,Diego Velázquez,Producción,Artemisia Gentileschi,2025-11-01 21:37:04,salida
22,Vincent Van Gogh,Producción,Rembrandt van Rijn,2025-11-02 05:34:55,salida
33,Hieronymus Bosch,Producción,Vincent Van Gogh,2025-11-02 05:47:09,salida
20,Caravaggio,Producción,Rembrandt van Rijn,2025-11-02 05:51:11,entrada
14,Edgar Degas,Producción,Caravaggio,2025-11-02 05:53:23,entrada
16,Francisco de Goya,Producción,Caravaggio,2025-11-02 05:57:55,entrada
13,Auguste Renoir,Producción,Caravaggio,2025-11-02 05:57:59,entrada
10,Pablo Picasso,Producción,Caravaggio,2025-11-02 05:58:21,entrada
15,Georgia O'Keeffe,Producción,Caravaggio,2025-11-02 05:58:44,entrada
35,Tamara de Lempicka,Producción,Vincent Van Gogh,2025-11-02 05:59:52,salida
40,Georges Seurat,Producción,Caravaggio,2025-11-02 06:00:53,entrada
32,Keith Haring,Producción,Vincent Van Gogh,2025-11-02 06:14:02,salida
34,El Greco,Producción,Vincent Van Gogh,2025-11-02 06:21:40,salida
15,Georgia O'Keeffe,Producción,Caravaggio,2025-11-02 13:50:24,salida
16,Francisco de Goya,Producción,Caravaggio,2025-11-02 13:51:01,salida
26,Wassily Kandinsky,Producción,Artemisia Gentileschi,2025-11-02 13:54:46,entrada
28,Paul Cézanne,Producción,Artemisia Gentileschi,2025-11-02 13:55:22,entrada
